CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|MTOTRANSACCION|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|FLG_ROS_BEN|FLG_ROS_SOL|N_Cluster
12030913.0|12095606.0|202312|05/12/23|355000|509|902653750640|60|229910.6|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|229910.6|0|0|229910.6|229910.6|0|0|9
12844012.0|12844012.0|202312|27/12/23|380000|332|801227308692|62|235020.0|1|0|0|0|0|0|0|3564.0|0|0|0|0|0|0|0|0|0|1|235020.0|1|1|235020.0|235020.0|0|0|5
26281020.0|7852176.0|202312|15/12/23|194030|59|902657179168|62|251700.0|1|0|0|0|0|0|0|737.0|0|0|1|1|0|1|0|0|0|0|251700.0|1|0|251700.0|251700.0|0|0|4
3421047.0|11923862.0|202312|13/12/23|355004|186|902656288184|115|250000.0|1|0|0|0|0|0|0|7916.0|0|0|1|1|0|0|1|0|0|1|250000.0|1|0|250000.0|250000.0|0|0|0
18334843.0|7200745.0|202312|27/12/23|305000|606|801227388721|60|300000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|300000.0|0|0|300000.0|300000.0|0|0|2
8865092.0|8865092.0|202312|21/12/23|385001|8|902659520325|60|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
70555.0|16300.0|202312|11/12/23|380000|723|801220400952|62|314770.0|0|1|0|0|0|0|0|11974.0|0|0|1|1|0|0|1|0|0|1|314770.0|1|1|314770.0|314770.0|0|1|3
70555.0|70555.0|202312|13/12/23|380000|455|801221403952|62|495330.0|0|0|1|0|0|0|0|12005.0|0|0|0|0|1|0|1|0|0|1|495330.0|1|1|495330.0|495330.0|0|0|13
1048367.0|1048367.0|202312|14/12/23|375000|609|902657029881|60|245000.0|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|245000.0|0|0|245000.0|245000.0|0|0|9
25985911.0|127936.0|202312|23/12/23|250000|72|801226252531|62|240806.52|1|0|0|0|0|0|0|919.0|0|0|1|1|0|1|0|0|0|1|240806.52|1|0|240806.52|240806.52|0|0|9
2469403.0|2469403.0|202312|28/12/23|480000|603|902662329336|60|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
28836606.0|17639735.0|202312|28/12/23|475000|336|801227908007|62|490730.0|0|0|1|0|0|0|0|3139.0|0|0|1|1|0|1|0|0|0|0|490730.0|1|0|490730.0|490730.0|0|0|1
15915913.0|15040949.0|202312|12/12/23|535000|234|801220716749|62|344010.0|0|1|0|0|0|0|0|2689.0|0|0|1|1|0|1|0|0|0|0|344010.0|1|0|344010.0|344010.0|0|0|12
15915913.0|15040949.0|202312|18/12/23|535000|360|801223485085|62|398200.0|0|1|0|0|0|0|0|2695.0|0|0|1|1|0|1|0|0|0|0|398200.0|1|0|398200.0|398200.0|0|0|12
8755904.0|21506959.0|202312|21/12/23|215004|607|902659895547|62|250000.0|1|0|0|0|0|0|0|5060.0|0|0|1|1|0|1|0|0|0|1|250000.0|1|0|250000.0|250000.0|0|0|9
27761097.0|27761097.0|202312|29/12/23|194044|257|902662840016|62|251269.9|1|0|0|0|0|0|0|861.0|0|0|1|1|0|1|0|0|0|1|251269.9|1|1|251269.9|251269.9|0|0|9
105788.0|105788.0|202312|04/12/23|193017|352|801217856241|87|305004.3|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|305004.3|0|0|305004.3|305004.3|0|0|2
